PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags
HMVQh,B6k/p5pp/3Q4/1pp2p2/b7/1q3N1P/KP2r1P1/4R2R w - - 3 29,a2a1 b3b2,849,76,100,650,mate mateIn1 middlegame oneMove,https://lichess.org/w3vHI2G2#57,
yx1Ht,r4k1r/4qp2/2p5/p3p3/1pB1Pn2/1P2Q1Pb/PB3P1K/R2R4 w - - 3 26,g3f4 e7h4 e3g3 h4h7,2299,105,85,94,advantage master middlegame short,https://lichess.org/CkIC4Rbc#51,
oEzqc,4Bk1r/ppp3p1/2nb4/8/6q1/3P1Np1/PPP4p/R1BQ1RK1 w - - 0 25,g1g2 g4h3 g2h1 g3g2,1126,91,92,340,advancedPawn mate mateIn2 middlegame short,https://lichess.org/80sqqt6H#49,
szTcY,4r2k/4p2p/1pp3pB/6N1/4Q1P1/1P2KR1P/P7/4q3 w - - 11 34,e3f4 e7e5 e4e5 e1e5,1824,76,90,682,endgame mate mateIn2 short xRayAttack,https://lichess.org/xi1QwU64#67,
ZHq8o,8/6r1/7K/R3bk1P/8/8/8/8 b - - 4 63,g7g5 a5e5 f5e5 h6g5 e5e6 g5g6,1456,75,83,376,crushing defensiveMove deflection endgame long,https://lichess.org/3co3hrpd/black#126,
CnCtE,r6r/2Q5/2p2pk1/8/1P2P3/2NP2P1/1PP5/1K6 w - - 2 41,c7c6 h8h1 c3d1 h1d1,920,79,91,71,endgame mate mateIn2 short,https://lichess.org/FZTC3VfD#81,
HPi7l,8/pB1P4/P1n4p/2k5/2p2p1p/2K2P2/6P1/8 b - - 9 48,h4h3 b7c6 h3h2 d7d8q h2h1q d8d5,1686,77,87,759,advancedPawn crushing endgame long master promotion,https://lichess.org/GognbLml/black#96,
aw5f9,8/8/5k2/1pp2p1p/5K1P/PP4P1/8/8 w - - 0 40,a3a4 c5c4 b3b4 b5a4,2036,76,86,349,crushing endgame master pawnEndgame short,https://lichess.org/Mrz18Hl9#79,
IHUYA,6rk/R3Rp1p/1p6/2p2p2/2P3P1/P1rPK2P/8/8 b - - 1 32,f5g4 e3d2 c3b3 d2c2 b3a3 a7a3,2710,117,89,974,crushing endgame long rookEndgame trappedPiece,https://lichess.org/68XnWklr/black#64,
SyPN3,6k1/p4R2/2B5/3P2pp/Pr6/6PK/5R1P/6r1 w - - 3 41,d5d6 b4h4 g3h4 g5g4,1643,74,84,148,endgame mate mateIn2 sacrifice short,https://lichess.org/VSaNAVT1#81,
fdz1o,r1b1kb1r/1p1n1ppp/2p2n2/p1q5/P1B5/BP3N2/2PN2PP/R2Q1K1R b kq - 2 12,c5b6 d1e1 e8d8 f3g5,2677,105,79,249,crushing master opening short,https://lichess.org/cwlxLZMf/black#24,Ware_Defense Ware_Defense_Other_variations
7OjjZ,q3r1k1/2p2ppp/5nb1/8/1pPpPP2/1P4P1/3N2BP/3Q1R1K b - - 0 20,f6e4 f4f5 g6f5 f1f5,1923,79,93,7914,advantage middlegame short trappedPiece,https://lichess.org/YlhCxXF3/black#40,
CrmH4,3rk2r/5pQ1/2p1p2p/ppP5/2n5/P5R1/5PPP/2BqNK2 b k - 0 26,c4d2 c1d2 d8d2 g7h8,906,105,96,422,advantage master masterVsMaster middlegame short,https://lichess.org/HrxkLrv4/black#52,
gUy5n,8/8/5k2/6p1/5rPp/5P2/4R1K1/8 w - - 5 65,e2e4 f4e4 f3e4 f6e5 g2f3 e5d4,2064,78,83,58,crushing endgame long rookEndgame zugzwang,https://lichess.org/WeeN3ygU#129,
rDJnI,2R4k/pn3pr1/1p3Qp1/3qp3/PP6/8/5PPP/6K1 b - - 1 30,h8h7 f6h4,1049,83,93,196,endgame mate mateIn1 oneMove,https://lichess.org/XQnavPjQ/black#60,
7pJqI,r1b2r1k/pp2q1pp/2np4/2p1p1N1/2B1PR2/2B3Q1/PPP3PP/2K4R b - - 0 20,e5f4 g3h4 e7g5 h4g5,1559,75,87,748,crushing middlegame short,https://lichess.org/NNCq9msG/black#40,
GsG2M,8/6k1/3Bp3/1P2Pp1K/5PrP/8/8/8 b - - 0 54,g4f4 b5b6 f4f2 b6b7,1122,76,86,184,advancedPawn crushing endgame master short,https://lichess.org/mozwFuca/black#108,
bQDJj,r5k1/1p3p1p/2pp1pN1/8/3P2P1/1nP4P/4BP2/3R2K1 b - - 0 26,f7g6 e2c4 g8g7 c4b3,815,104,83,263,advantage endgame fork short,https://lichess.org/0J9cbhoD/black#52,
h41e8,8/5Kpp/5p2/7P/3k2P1/8/8/8 b - - 4 46,g7g6 h5g6 h7g6 f7f6,1525,137,100,36,crushing endgame master pawnEndgame short,https://lichess.org/9CMu7PpN/black#92,
FOmoA,8/8/5p2/4pk1K/8/5P2/5P2/8 w - - 8 44,h5h4 f5f4 h4h5 f4f3 h5g6 f3f2,1843,80,91,1834,crushing endgame long pawnEndgame,https://lichess.org/ajbvypls#87,
ifXTz,2kr4/1pp3p1/p1P3bp/P3N3/4p3/4n3/5PPP/1R4K1 b - - 0 24,g6h7 c6b7 c8b8 e5c6,1252,82,91,1091,advancedPawn endgame mate mateIn2 queensideAttack short,https://lichess.org/YrPPv7kf/black#48,
9jL9E,r1b1r1k1/ppq3b1/5nQR/3p2p1/3P4/3BP1P1/PPP2PP1/R3K3 b Q - 0 16,c7f7 h6h8 g8h8 g6f7,2011,78,94,14665,advantage deflection kingsideAttack middlegame pin short,https://lichess.org/x1aiUFti/black#32,Trompowsky_Attack Trompowsky_Attack_Other_variations
q56Ct,2krr3/1pp2p2/1pnp4/4pq1p/1P4bP/P1PP1NP1/5PB1/R2QR1K1 w - - 1 18,d1a4 g4f3 g2f3 f5f3,1070,78,89,721,crushing middlegame short,https://lichess.org/Fvjdp7U7#35,Four_Knights_Game Four_Knights_Game_Other_variations
FC9V4,4Q3/5ppk/1p4b1/p1b3Np/4N3/8/Pq3PPP/6K1 b - - 1 25,h7h6 e8h8 g6h7 h8h7,1174,76,96,1522,endgame mate mateIn2 short,https://lichess.org/Hcf1PnM5/black#50,
IiuHX,8/5kpp/p7/P2r4/1PN5/2P4P/6P1/6K1 b - - 2 44,d5d3 c4e5 f7e6 e5d3,755,114,82,29,crushing endgame fork short,https://lichess.org/VL6cdBzI/black#88,
3EowR,2k2b2/5p2/p1p1p3/1pNp4/1P1PP3/nKP1n3/4B2q/4QR2 w - - 2 39,b3a3 e3c2 a3b3 c2e1,989,92,90,192,crushing fork middlegame short,https://lichess.org/F3O3rcmO#77,
8JWcn,1n2q1k1/4n1pp/p3B3/1pr5/2p1P3/2P2PP1/7P/R2Q2K1 b - - 0 27,g8f8 d1d6 c5c6 d6f4,1608,75,93,797,advantage middlegame short,https://lichess.org/TbZOz6Xp/black#54,
8mKsk,5rk1/5pp1/pq1pb2p/2nB2b1/4PN2/5Q2/2PR2PP/3R3K w - - 8 37,f4e6 f7e6 d5e6 c5e6,1875,74,95,3700,advantage middlegame short,https://lichess.org/vJVpdA74#73,
Nve6O,8/6k1/4P3/pp1K1R2/5Pp1/8/8/r7 b - - 2 54,b5b4 e6e7 a1e1 f5e5 e1e5 d5e5 g7f7 e5d6,2008,78,94,2108,advancedPawn crushing defensiveMove endgame rookEndgame veryLong,https://lichess.org/3aYkWf56/black#108,
mnPh6,r1n2r1k/1p5Q/3p1P2/3Pp3/8/8/PpP2P2/1K1R2R1 b - - 0 31,h8h7 g1g7 h7h8 d1h1,1471,75,92,346,endgame mate mateIn2 short,https://lichess.org/jnHX5Q8T/black#62,
X0Gnf,1r3rk1/p1p2ppp/Q4n2/3q4/1P3n2/P3B3/R4PPP/1N3RK1 w - - 4 18,a2d2 d5g2,852,80,88,270,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/Ng8Bx0kQ#35,Bishops_Opening Bishops_Opening_Other_variations
RKIPQ,8/5B2/1p1bn1pk/2p2b2/2P5/2B2K2/1P6/6R1 w - - 0 46,g1d1 e6g5 f3f2 g5f7,1363,75,100,1127,advantage endgame fork short,https://lichess.org/DbnbPLpa#91,
AlE9B,r4rk1/pR1nbppp/1np1p3/2N5/3P4/1qBBQ3/5PPP/R5K1 b - - 3 20,d7c5 d4c5 b3c3 d3h7 g8h7 e3c3,1927,76,92,2809,advantage discoveredAttack long middlegame,https://lichess.org/4iL3b1uH/black#40,
fxrcv,r1bq1r1k/ppppb3/2nn2Q1/8/8/1P6/P1PP1PPP/RNB1R1K1 b - - 0 12,e7f6 e1e3 d6f5 g6f5 f8f7 f5g6,2759,99,86,245,crushing long master opening quietMove,https://lichess.org/RD20xXvC/black#24,Ruy_Lopez Ruy_Lopez_Berlin_Defense
40XGg,2q3k1/5rpp/p3b3/5nN1/P4Q2/2B5/1P4PP/5R1K w - - 8 34,f4d2 f5g3 h2g3 f7f1,934,89,94,747,advantage discoveredAttack middlegame short,https://lichess.org/0yBN0DfW#67,
nHCnC,4r1k1/1p3pp1/2b5/2p3q1/2P4p/1P2N2P/5PP1/Q2R2K1 w - - 2 32,a1a5 e8e3 a5d8 g5d8 d1d8 e3e8,1986,74,97,1315,advantage endgame long,https://lichess.org/SsCBPDun#63,
RMyGD,8/8/6P1/1p1r3P/5P2/8/2k5/6K1 b - - 0 46,d5h5 g6g7 h5h4 g7g8q,1235,76,18,151,advancedPawn advantage endgame master promotion rookEndgame short,https://lichess.org/9xrWKoU9/black#92,
OKoOs,1k1r3r/1p2n3/p3p3/1NqpP1pp/5p2/2PQ4/6PP/R1B2R1K b - - 0 21,a6b5 c1a3 c5c4 d3c4 b5c4 a3e7,1567,75,94,2604,advantage long middlegame,https://lichess.org/g3Txwozm/black#42,
02qNU,5Qkr/p4p2/1q2pPp1/4P1p1/3p2N1/7P/PP3PK1/2R5 b - - 0 28,g8f8 c1c8 b6d8 c8d8,585,104,75,238,endgame mate mateIn2 short,https://lichess.org/J2sKo1sM/black#56,
ZyP4q,8/5pk1/8/6pp/P7/1Pr3P1/1R3K2/8 b - - 2 46,f7f5 a4a5 g7f8 a5a6,1226,75,81,380,crushing endgame quietMove rookEndgame short,https://lichess.org/G65xlmwZ/black#92,
VhhY2,6rk/1p4p1/2p2pQp/p3b3/P6R/1P4PP/5P1K/q7 b - - 3 35,a1f1 h4h6 g7h6 g6h6,1075,81,45,78,endgame mate mateIn2 sacrifice short,https://lichess.org/oNiZ7KcG/black#70,
LcD6q,3b1kQr/1p2rP2/p1p5/8/1PB5/P7/5PK1/8 b - - 4 45,h8g8 f7g8q,1089,78,71,96,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/aHOAfFdx/black#90,
UXCRQ,r4nr1/pbq1bppk/1pn1p2B/2ppP3/6NP/3P1NP1/PPPQ1PB1/R3R1K1 b - - 0 16,g7h6 d2h6,889,93,97,246,mate mateIn1 middlegame oneMove,https://lichess.org/V43eCeB4/black#32,Kings_Indian_Attack Kings_Indian_Attack_Sicilian_Variation
gBsv0,rn2k2r/pQ3pp1/2p1pn1p/8/3P2P1/P1B1P2P/1P2KP2/R6q b kq - 1 17,h1a1 b7c8 e8e7 c3b4 c6c5 b4c5,1912,75,88,434,long mate mateIn3 middlegame,https://lichess.org/mhcYGSbI/black#34,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
gttt3,r4rk1/pR4bp/2pq2p1/2N2b2/8/3PB2P/P1PQ2P1/5RK1 w - - 1 21,g2g4 d6g3 d2g2 g3e3,1195,80,95,9402,crushing deflection kingsideAttack master middlegame short,https://lichess.org/kWKgVB9s#41,
0Gp6s,4rk2/pp3p1Q/5q1p/2P3p1/2B5/P6P/2n2PP1/R5K1 w - - 0 24,a1a2 e8e1 c4f1 c2e3,1441,120,47,12,crushing endgame short,https://lichess.org/oOk7hHkc#47,
G0or5,2r1r1k1/p1q1bppp/1p1p4/3Bn3/5Q2/4B3/PPP2PPP/2KR3R w - - 7 17,d1d2 e5d3 c1b1 d3f4,1313,76,93,1158,crushing middlegame pin short,https://lichess.org/uBZ4WSoW#33,Philidor_Defense Philidor_Defense_Exchange_Variation
RERud,1rq4r/pp1b1k2/3p4/2pP1P2/P4Q2/2PP3p/1P5K/R4R2 b - - 0 30,c8g8 f1g1 g8f8 f5f6 h8g8 g1g8 f8g8 a1g1,1500,202,0,7,clearance crushing middlegame veryLong,https://lichess.org/MQyRIcvD/black#60,
xkO22,7k/6p1/p1pQ3p/6P1/P6R/8/2q1rr1P/6RK b - - 0 33,e2d2 d6b8 h8h7 g5g6 c2g6 g1g6,2035,77,91,1065,advantage endgame long,https://lichess.org/1ovc81YL/black#66,
l4YE9,5k1r/p4pbp/q2p2p1/4r3/1QP5/1P4PP/P4P2/R2R2K1 b - - 1 26,g7f6 d1d6 a6a5 b4a5 e5a5 d6f6,2002,173,82,5,advantage long middlegame,https://lichess.org/6rLwI18q/black#52,
uqggU,6k1/B5bp/p3p1p1/1p6/3P4/P1r1P2P/5PP1/R5K1 w - - 0 31,a7c5 c3c5 d4c5 g7a1 c5c6 a1e5,1354,77,93,8670,crushing defensiveMove discoveredAttack endgame long,https://lichess.org/p4y35SvK#61,
UUSzN,7r/kp3Q2/1np5/p2p1P2/3P1B2/1B4K1/PP4R1/5q2 w - - 2 37,f5f6 f1d3 g3f2 h8h1 g2g1 d3d4,1823,236,0,17,crushing long master middlegame quietMove,https://lichess.org/JYGiJBEZ#73,
slw9x,r3q1k1/1pp1rp2/p5Qp/P3b1pn/1PB2pb1/2P2N2/1B4PP/3RR1K1 b - - 3 20,h5g7 e1e5 g4f3 e5e7 e8e7 g2f3,2476,86,93,1570,advantage long middlegame pin,https://lichess.org/83GXsARI/black#40,
Bef1E,r4rk1/p1p3p1/1p1p3p/3Pp2q/5n2/1BPbR1Q1/P2N1PPP/4R1K1 b - - 1 21,a7a5 e3d3 h5e2 e1e2 f4e2 g1f1,2191,75,92,1365,advantage long middlegame,https://lichess.org/UtCfKHGr/black#42,
wCjnT,3k4/1p5p/4PP2/8/p7/1r2R1K1/8/8 w - - 0 46,e3b3 a4b3 f6f7 d8e7,1025,83,79,116,crushing endgame short,https://lichess.org/JMUhz2Ap#91,
wN19D,8/R7/4p3/4P1K1/1r3PP1/8/pk6/8 b - - 5 39,a2a1q a7a1 b2a1 f4f5 e6f5 g4f5,1758,81,93,1276,crushing endgame long master,https://lichess.org/DIIU7A92/black#78,
PyfrK,1r2n2R/2kbBp2/p6p/3pPB1P/p1pP1P2/2P5/2P4K/8 w - - 7 36,e7d6 e8d6 e5d6 c7b7,1789,133,76,16,crushing defensiveMove endgame short,https://lichess.org/2j3HCOQI#71,
xR463,r3kq2/p7/1p2Q3/3p1p2/P3bP2/4P3/5K2/6R1 b - - 0 37,e8d8 g1g8 d8c7 g8f8 a8f8 e6e7,1173,146,41,38,crushing endgame long pin,https://lichess.org/F6AFnh7L/black#74,
yGCRF,2q5/1pp2pk1/1n1p3p/3Pp1p1/r1P1P3/2PB2PP/4Q1P1/1R4K1 b - - 0 29,c8d7 c4c5 d6c5 d3b5,1526,76,95,20803,clearance crushing endgame short,https://lichess.org/FmtLzHml/black#58,
Acvhv,2kr1b1r/pp3ppp/2n1p3/2p5/4PPb1/2P2N1P/PPK3P1/R1B2B1R b - - 0 11,g4h5 g2g4 h5g6 f4f5 e6f5 e4f5 f7f6 f5g6,1573,78,82,62,crushing master middlegame trappedPiece veryLong,https://lichess.org/DLXqRrAn/black#22,Bird_Opening Bird_Opening_Dutch_Variation
NmgMq,6k1/8/5n2/2N3p1/5K1p/PP6/8/8 w - - 0 39,f4g5 h4h3 g5f6 h3h2,1244,139,52,16,advancedPawn advantage endgame knightEndgame sacrifice short,https://lichess.org/ZesL5R0L#77,
07s3C,1k5r/p1p2R1p/1p1p4/3P4/3n1RBb/6r1/PP5K/8 b - - 3 29,g3d3 f7f8 h4d8 f8h8,1011,80,90,516,crushing middlegame pin short,https://lichess.org/OruDSflo/black#58,
oY29K,8/8/2p2k2/7K/5nP1/r5P1/p2N4/R7 w - - 0 55,g3f4 a3h3,668,100,94,569,endgame mate mateIn1 oneMove,https://lichess.org/phK9OTB4#109,
ahoy5,7r/4k3/3p4/6Q1/3P2p1/2q1P1P1/2P1K3/8 b - - 3 42,e7d7 g5g7 d7e6 d4d5 e6d5 g7c3,2059,81,88,37,crushing discoveredAttack endgame fork long,https://lichess.org/mwD8J5VP/black#84,
jb4cL,r4rk1/2qnbppp/b1p1p3/pp1nP3/3P4/P1NQ1N2/1PB2PPP/R1B2RK1 b - - 2 14,d5c3 d3h7,453,88,100,405,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/XOiU2rFR/black#28,Semi-Slav_Defense Semi-Slav_Defense_Bogoljubow_Variation
BQv6n,6k1/pQ4p1/3q1p1p/P7/8/2P1RKPP/3r4/8 b - - 2 40,d2d1 e3e8 g8h7 b7e4 f6f5 e4f5,1378,197,33,4,crushing endgame long,https://lichess.org/EE1NWjld/black#80,
amuqv,r3k1nr/pp3pp1/2p1p3/4P1Bp/6nP/3R2N1/PPP2PP1/2KR4 b kq - 2 16,g4f2 d3d8 a8d8 d1d8,648,89,68,127,mate mateIn2 middlegame operaMate short,https://lichess.org/uG3NVO8V/black#32,Caro-Kann_Defense Caro-Kann_Defense_Classical_Variation
CW2ZG,6k1/2R2p2/R4pn1/4p2p/4P3/1P1r2K1/5P1P/8 w - - 1 32,g3g2 g6f4 g2f1 d3d1,937,76,100,300,endgame mate mateIn2 short,https://lichess.org/w5DRSwsa#63,
J8iCb,r2q1r2/pbp2pp1/1pn2bk1/4p1N1/3P3P/2NQ4/PP3PP1/R3K2R b KQ - 3 14,g6h6 d3h7,1015,79,90,342,mate mateIn1 middlegame oneMove,https://lichess.org/PojQmKCl/black#28,Philidor_Defense Philidor_Defense_Bird_Gambit
5ycX5,8/q7/3PQ3/2K5/1P3k2/8/8/8 w - - 3 53,c5c4 a7a2 c4b5 a2e6,1286,90,74,25,crushing endgame master queenEndgame short skewer,https://lichess.org/UyOc3lFT#105,
OD4iZ,r1b3rk/p2n3p/1p1p2n1/1P1Pp3/R1P1Pp2/QN3PqP/1B2K3/R4B2 w - - 1 32,a3d6 g3h2 e2d1 h2b2,1135,87,94,2560,advantage middlegame short skewer,https://lichess.org/i7636nr6#63,
pc6Kv,rnb1k1nr/ppp2p1p/8/2bPN3/2B3pq/8/PPPP2pP/RNB1QK1R w kq - 0 10,f1g2 h4h3,1081,75,100,217,mate mateIn1 oneMove opening,https://lichess.org/dnMjAyke#19,Kings_Gambit_Accepted Kings_Gambit_Accepted_Salvio_Gambit
eEWle,6rk/R7/5r2/3p4/1pbPnN2/4P1P1/5PK1/3R4 b - - 1 40,b4b3 d1h1 f6h6 h1h6,1113,77,93,742,mate mateIn2 middlegame short,https://lichess.org/l4DZPZZJ/black#80,
se4E6,2kr3r/pppqnb2/3P1p2/5p1p/2P5/1P3QP1/P2N2BP/R4RK1 b - - 0 19,e7g6 f3b7,839,78,87,136,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/jzT0LMTK/black#38,
SCNvq,2rk1b1r/pp1b2p1/1qn1pNQ1/3p4/3p4/2P1P1P1/PP1NP1BP/R4RK1 b - - 0 14,g7f6 g6f6 f8e7 f6h8,931,104,94,1020,advantage fork middlegame short,https://lichess.org/EEmSgyu7/black#28,Queens_Pawn_Game Queens_Pawn_Game_Other_variations
e3Edk,1k1r4/1p4R1/4p3/pN1pn3/P7/1P6/1KP5/8 b - - 0 32,d8d7 g7g8 d7d8 g8d8,900,78,82,180,endgame mate mateIn2 short,https://lichess.org/8rKue2LF/black#64,
pLP6n,rnbqrk1Q/pp4p1/3bp3/6N1/3p4/2P5/PP3PPP/R1B1K2R b KQ - 6 16,f8e7 h8g7,864,79,100,620,epauletteMate mate mateIn1 oneMove opening,https://lichess.org/QyJ60QHa/black#32,Queens_Pawn_Game Queens_Pawn_Game_Colle_System
q0DDQ,3R4/7p/6p1/3p1r1k/4p3/4P2K/6P1/8 b - - 9 54,h7h6 g2g4 h5g5 g4f5,837,103,96,226,crushing endgame fork rookEndgame short,https://lichess.org/gDjvc9Ia/black#108,
FkRfs,rn4k1/pp1bn1rp/2p1R3/3p1p1Q/3q4/2NB4/PPP2PPP/4RNK1 b - - 0 18,d7e6 h5e8,1472,78,92,475,mate mateIn1 middlegame oneMove,https://lichess.org/cPpx7m2h/black#36,Queens_Pawn_Game Queens_Pawn_Game_Chigorin_Variation
Cxijw,r1b1k1nr/pp1p1ppp/2N1p3/q7/4P3/2b1B3/PPP2PPP/R2QKB1R w KQkq - 0 8,e3d2 c3d2 d1d2 a5d2,820,104,88,242,advantage opening short,https://lichess.org/RC7Dit4G#15,Sicilian_Defense Sicilian_Defense_Taimanov_Variation
n8Uvi,8/3P4/R6p/5p1k/5P2/5K1P/p2r2P1/8 b - - 0 45,d2d7 g2g4 f5g4 h3g4 h5h4 a6h6,978,78,95,350,endgame long mate mateIn3 rookEndgame,https://lichess.org/3FHtASD1/black#90,
Db4Di,6k1/7p/2p1q1pP/p2P4/Nn3p2/1PQ5/PK1NrPP1/8 b - - 0 42,c6d5 c3g7,1046,96,95,386,endgame mate mateIn1 oneMove,https://lichess.org/NJKKeZiX/black#84,
9F8TT,2rqkbnr/p4ppp/2p1p3/3pNb2/3P2P1/5Q2/PPP2P1P/RNB1K2R b KQk - 0 9,f5c2 f3f7,1093,80,74,135,attackingF2F7 mate mateIn1 middlegame oneMove,https://lichess.org/zgxOFnFh/black#18,
yfm7J,2rqr1k1/1b3pp1/p2b1n1p/nppPN3/4NB2/3Q4/PPB2PPP/R3R1K1 b - - 6 18,d6e5 e4f6 d8f6 d3h7 g8f8 h7h8,1874,78,91,1401,advantage clearance kingsideAttack long middlegame,https://lichess.org/mgOe2fFZ/black#36,Ruy_Lopez Ruy_Lopez_Closed
nESSt,3rr2k/pp3ppp/5n2/2bP2B1/8/2N2RQ1/Pq3PPP/1R4K1 w - - 2 20,f3f6 b2b1 c3b1 e8e1,1542,75,88,856,mate mateIn2 middlegame sacrifice short,https://lichess.org/zmVNhccK#39,
Wg52Q,5r2/3npp1k/1q1p3N/5PN1/8/1P4QP/r5P1/b3Bb1K b - - 0 27,h7h6 g5f7 f8f7 g3g6,2209,79,85,1007,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/alZKIADs/black#54,
XR0W0,5rk1/2p3p1/1p1p2r1/3Pp3/p1P2qNp/Pn3R1P/1PQ2PP1/5RK1 b - - 5 30,f4g5 f3f8 g8f8 f2f4 e5f4 c2e4,2220,76,85,124,advantage kingsideAttack long middlegame,https://lichess.org/XAi11QMD/black#60,
336Se,8/8/PK6/7R/8/6kp/8/r7 w - - 0 51,h5a5 a1a5 b6a5 h3h2,1163,77,95,17685,advancedPawn crushing endgame rookEndgame short,https://lichess.org/tx8QF7m5#101,
Lv4Cx,2r5/7p/p3k3/2pR1pp1/2K1p3/1PP4P/P4PP1/8 w - - 1 31,d5c5 c8c5 c4c5 e6e5,1905,78,92,1903,advantage defensiveMove endgame master rookEndgame short,https://lichess.org/HZfihgFe#61,
H1ecG,4r2k/4Npp1/3p1n2/8/4R2P/1P3QP1/q3PPK1/8 b - - 7 35,f6e4 f3h5,1023,79,92,416,endgame mate mateIn1 oneMove,https://lichess.org/hEOBmMXm/black#70,
nq6j0,3q1r2/3Qppkp/p3r1p1/8/8/P7/1P3PPP/R4RK1 w - - 0 24,f1d1 e6e1 d1e1 d8d7,984,77,96,3467,advantage deflection endgame short,https://lichess.org/Up31B4pC#47,
fTtE4,1k1r2nr/p1pn2b1/1p2p1Bp/4P3/P1q2B2/2N2Q2/1P4PP/2R2R1K b - - 1 19,g8e7 c3b5 c4a4 b5c7,2302,90,84,95,crushing middlegame short,https://lichess.org/AKScCEVf/black#38,Owen_Defense Owen_Defense_Other_variations
KURTx,2r4k/R3P1Rp/1p6/3p4/4b3/4P2P/Pr4P1/6K1 b - - 0 27,e4g6 g7g6 h7g6 a7d7 c8e8 d7d8 h8g7 d8e8,2242,77,94,322,advantage endgame pin sacrifice veryLong,https://lichess.org/GpVfCqBr/black#54,
gvdz3,2R2bk1/1q1r1p1p/p5pB/1b6/1PQ1P3/P7/B5P1/7K b - - 10 37,b5c4 c8f8,1026,78,100,536,mate mateIn1 middlegame oneMove operaMate,https://lichess.org/tROruyWo/black#74,
1R1tP,r1b1r1k1/ppb2ppp/3q4/3P4/8/5n1P/PPBB1PP1/R2Q1RK1 w - - 0 18,d1f3 d6h2,1218,283,57,12,mate mateIn1 middlegame oneMove,https://lichess.org/2zGS9Tak#35,Bishops_Opening Bishops_Opening_Berlin_Defense
v7kSu,r1b2rk1/3p1ppp/p2qn3/1p1Np3/4P3/2P1B3/PP3PPP/R2Q1RK1 b - - 4 16,c8b7 d5f6 g7f6 d1d6,1373,76,93,17319,crushing discoveredAttack middlegame short,https://lichess.org/WeqEGCdC/black#32,Sicilian_Defense Sicilian_Defense_Lowenthal_Variation
YoKhJ,3r2k1/1b3pbp/p3p1p1/1p2P3/5P2/P3B1N1/1Pq3PP/4QRK1 w - - 0 21,e1c3 c2g2,1053,76,100,310,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kYM35nTc#41,
